Unnamed: 0,consecutivo,Id,fecha,anio,mes,dia,dia_sem,rango_hora,mun,calle_1,calle_2,lon,lat,tipo_siniestro,condicion_usuario,tipo_usuario,ibaen_atro,sexo,rango_edad,consecuencia
20,26577,2019-01-01-53955-SISCAV-10:00 A 11:59,2019-01-01,2019,Enero,1,martes,10:00 a 10:59,Guadalajara,Del Ejercito Calz,Los Angeles,-103.3347,20.65994,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,18-27,Ileso
28,26585,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Publico De Pasajeros,Transporte Publico,Hombre,38-47,Ileso
29,26586,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,38-47,Lesionado
30,26587,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,38-47,Lesionado
31,26588,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,18-27,Lesionado
32,26589,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,38-47,Lesionado
33,26590,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,38-47,Lesionado
34,26591,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,48-59,Lesionado
35,26592,2019-01-02-1-TRANSPORTE PUBLICO-08:00 A 09:59,2019-01-02,2019,Enero,2,miércoles,09:00 a 09:59,Guadalajara,Pensador Mexicano,Rafael Delgado,-103.3115,20.65838,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,60+,Ileso
36,26593,2019-01-02-100003-EHGR-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Adrian Puga,Manuel M Ponce,-103.2939,20.65524,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,No disponible,Ileso
37,26594,2019-01-02-100003-EHGR-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Adrian Puga,Manuel M Ponce,-103.2939,20.65524,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
38,26595,2019-01-02-100003-EHGR-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Adrian Puga,Manuel M Ponce,-103.2939,20.65524,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Mujer,No disponible,Lesionado
39,26596,2019-01-02-2-EHGR-16:00 A 17:59,2019-01-02,2019,Enero,2,miércoles,16:00 a 16:59,Zapopan,Carretera A Tesistan,Base Aerea Militar Av,-103.4376,20.7631,Colision Con Peaton/Atropellamiento,Conductor,Vehiculo Particular,Automovil,Hombre,No disponible,Ileso
40,26597,2019-01-02-2-EHGR-16:00 A 17:59,2019-01-02,2019,Enero,2,miércoles,16:00 a 16:59,Zapopan,Carretera A Tesistan,Base Aerea Militar Av,-103.4376,20.7631,Colision Con Peaton/Atropellamiento,Peatón,Peaton,Automovil,Mujer,No disponible,Lesionado
41,26598,2019-01-02-53966-SISCAV-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Independencia Calz,Salvador Quevedo Y Zubieta,-103.3354,20.68708,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,28-37,Ileso
42,26599,2019-01-02-53966-SISCAV-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Independencia Calz,Salvador Quevedo Y Zubieta,-103.3354,20.68708,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,48-59,Ileso
43,26600,2019-01-02-53966-SISCAV-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Independencia Calz,Salvador Quevedo Y Zubieta,-103.3354,20.68708,Colision Entre Dos o Mas Vehiculos,Pasajero,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Mujer,No disponible,Lesionado
44,26601,2019-01-02-53966-SISCAV-22:00 A 23:59,2019-01-02,2019,Enero,2,miércoles,23:00 a 23:59,Guadalajara,Independencia Calz,Salvador Quevedo Y Zubieta,-103.3354,20.68708,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,18-27,Ileso
47,26608,2019-01-03-100005-EHGR-12:00 A 13:59,2019-01-03,2019,Enero,3,jueves,12:00 a 12:59,Guadalajara,La Paz Av,General San Martin,-103.3716,20.6723,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,No disponible,Lesionado
48,26609,2019-01-03-100005-EHGR-12:00 A 13:59,2019-01-03,2019,Enero,3,jueves,12:00 a 12:59,Guadalajara,La Paz Av,General San Martin,-103.3716,20.6723,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,48-59,Ileso
49,26610,2019-01-03-54007-SISCAV-10:00 A 11:59,2019-01-03,2019,Enero,3,jueves,11:00 a 11:59,Zapopan,Carretera A Tesistan,Tercera Oriente Col Jardines Nuevo Mexico,-103.4397,20.76465,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Mujer,18-27,Ileso
50,26611,2019-01-03-54007-SISCAV-10:00 A 11:59,2019-01-03,2019,Enero,3,jueves,11:00 a 11:59,Zapopan,Carretera A Tesistan,Tercera Oriente Col Jardines Nuevo Mexico,-103.4397,20.76465,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,38-47,Ileso
51,26612,2019-01-03-54007-SISCAV-10:00 A 11:59,2019-01-03,2019,Enero,3,jueves,11:00 a 11:59,Zapopan,Carretera A Tesistan,Tercera Oriente Col Jardines Nuevo Mexico,-103.4397,20.76465,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,18-27,Lesionado
52,26613,2019-01-03-54007-SISCAV-10:00 A 11:59,2019-01-03,2019,Enero,3,jueves,11:00 a 11:59,Zapopan,Carretera A Tesistan,Tercera Oriente Col Jardines Nuevo Mexico,-103.4397,20.76465,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,38-47,Ileso
53,26614,2019-01-03-54007-SISCAV-10:00 A 11:59,2019-01-03,2019,Enero,3,jueves,11:00 a 11:59,Zapopan,Carretera A Tesistan,Tercera Oriente Col Jardines Nuevo Mexico,-103.4397,20.76465,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,38-47,Ileso
54,26615,2019-01-04-2-TRANSPORTE PUBLICO-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,Presa Laurel,Presa Osorio,-103.2752,20.67268,Caida Al Interior,Conductor,Transporte Publico De Pasajeros,Transporte Publico,Hombre,38-47,Ileso
55,26616,2019-01-04-2-TRANSPORTE PUBLICO-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,Presa Laurel,Presa Osorio,-103.2752,20.67268,Caida Al Interior,Pasajero,Transporte Publico De Pasajeros,Transporte Publico,Mujer,48-59,Lesionado
56,26617,2019-01-04-3-EHGR-18:00 A 19:59,2019-01-04,2019,Enero,4,viernes,18:00 a 18:59,Guadalajara,Independencia Calz,Washington,-103.3511,20.65734,Colision Con Peaton/Atropellamiento,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,No disponible,Ileso
57,26618,2019-01-04-3-EHGR-18:00 A 19:59,2019-01-04,2019,Enero,4,viernes,18:00 a 18:59,Guadalajara,Independencia Calz,Washington,-103.3511,20.65734,Colision Con Peaton/Atropellamiento,Peatón,Peaton,Camioneta De Carga,Mujer,0-17,Lesionado
63,26624,2019-01-04-54036-SISCAV-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,12 De Octubre,Motolinia,-103.3135,20.66436,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,28-37,Lesionado
64,26625,2019-01-04-54036-SISCAV-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,12 De Octubre,Motolinia,-103.3135,20.66436,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,18-27,Ileso
65,26626,2019-01-04-54036-SISCAV-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,12 De Octubre,Motolinia,-103.3135,20.66436,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,48-59,Ileso
66,26627,2019-01-04-54036-SISCAV-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,12 De Octubre,Motolinia,-103.3135,20.66436,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,0-17,Ileso
67,26628,2019-01-04-54036-SISCAV-16:00 A 17:59,2019-01-04,2019,Enero,4,viernes,17:00 a 17:59,Guadalajara,12 De Octubre,Motolinia,-103.3135,20.66436,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camion De Carga,Hombre,0-17,Ileso
68,26629,2019-01-04-54043-SISCAV-22:00 A 23:59,2019-01-04,2019,Enero,4,viernes,22:00 a 22:59,Guadalajara,Federacion,Felipe Angeles,-103.3024,20.67327,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,38-47,Ileso
69,26630,2019-01-04-54043-SISCAV-22:00 A 23:59,2019-01-04,2019,Enero,4,viernes,22:00 a 22:59,Guadalajara,Federacion,Felipe Angeles,-103.3024,20.67327,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Mujer,38-47,Ileso
70,26631,2019-01-04-54043-SISCAV-22:00 A 23:59,2019-01-04,2019,Enero,4,viernes,22:00 a 22:59,Guadalajara,Federacion,Felipe Angeles,-103.3024,20.67327,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,18-27,Lesionado
71,26632,2019-01-04-54043-SISCAV-22:00 A 23:59,2019-01-04,2019,Enero,4,viernes,22:00 a 22:59,Guadalajara,Federacion,Felipe Angeles,-103.3024,20.67327,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,28-37,Ileso
72,26633,2019-01-04-54043-SISCAV-22:00 A 23:59,2019-01-04,2019,Enero,4,viernes,22:00 a 22:59,Guadalajara,Federacion,Felipe Angeles,-103.3024,20.67327,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,28-37,Ileso
73,26634,2019-01-04-717941-SISCAV-10:00 A 11:59,2019-01-04,2019,Enero,4,viernes,10:00 a 10:59,Guadalajara,Coyul,Del Trigo,-103.3847,20.65087,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,48-59,Ileso
74,26635,2019-01-04-717941-SISCAV-10:00 A 11:59,2019-01-04,2019,Enero,4,viernes,10:00 a 10:59,Guadalajara,Coyul,Del Trigo,-103.3847,20.65087,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,48-59,Lesionado
75,26636,2019-01-05-54047-SISCAV-02:00 A 03:59,2019-01-05,2019,Enero,5,sábado,02:00 a 02:59,Zapopan,Acueducto Av Zap,Patria Av,-103.407,20.7098,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,No especificado,No disponible,Lesionado
76,26637,2019-01-05-54047-SISCAV-02:00 A 03:59,2019-01-05,2019,Enero,5,sábado,02:00 a 02:59,Zapopan,Acueducto Av Zap,Patria Av,-103.407,20.7098,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Automovil,Hombre,No disponible,Lesionado
77,26638,2019-01-05-54060-SISCAV-18:00 A 19:59,2019-01-05,2019,Enero,5,sábado,19:00 a 19:59,Zapopan,Periferico,Del Servidor Publico Calz,-103.4234,20.72062,Colision Entre Dos o Mas Vehiculos,Conductor,Sin datos,Sin datos,No especificado,No disponible,Ileso
78,26639,2019-01-05-54060-SISCAV-18:00 A 19:59,2019-01-05,2019,Enero,5,sábado,19:00 a 19:59,Zapopan,Periferico,Del Servidor Publico Calz,-103.4234,20.72062,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,18-27,Ileso
79,26640,2019-01-05-54060-SISCAV-18:00 A 19:59,2019-01-05,2019,Enero,5,sábado,19:00 a 19:59,Zapopan,Periferico,Del Servidor Publico Calz,-103.4234,20.72062,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,28-37,Ileso
80,26641,2019-01-05-54060-SISCAV-18:00 A 19:59,2019-01-05,2019,Enero,5,sábado,19:00 a 19:59,Zapopan,Periferico,Del Servidor Publico Calz,-103.4234,20.72062,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Lesionado
81,26642,2019-01-06-100006-EHGR-18:00 A 19:59,2019-01-06,2019,Enero,6,domingo,19:00 a 19:59,Zapopan,Venustiano Carranza Santa Ana Tepetitlan,Vicente Guerrero Santa Ana Tepetitlan,-103.4539,20.62206,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,28-37,Ileso
82,26643,2019-01-06-100006-EHGR-18:00 A 19:59,2019-01-06,2019,Enero,6,domingo,19:00 a 19:59,Zapopan,Venustiano Carranza Santa Ana Tepetitlan,Vicente Guerrero Santa Ana Tepetitlan,-103.4539,20.62206,Colision Entre Dos o Mas Vehiculos,Conductor,Motociclista,Motocicleta,Hombre,No disponible,Lesionado
83,26644,2019-01-06-4-EHGR-14:00 A 15:59,2019-01-06,2019,Enero,6,domingo,15:00 a 15:59,Zapopan,Periferico,Mariano Otero Av,-103.436,20.63072,Colision Con Peaton/Atropellamiento,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
84,26645,2019-01-06-4-EHGR-14:00 A 15:59,2019-01-06,2019,Enero,6,domingo,15:00 a 15:59,Zapopan,Periferico,Mariano Otero Av,-103.436,20.63072,Colision Con Peaton/Atropellamiento,Peatón,Peaton,Automovil,Mujer,28-37,Lesionado
85,26646,2019-01-06-4-EHGR-14:00 A 15:59,2019-01-06,2019,Enero,6,domingo,15:00 a 15:59,Zapopan,Periferico,Mariano Otero Av,-103.436,20.63072,Colision Con Peaton/Atropellamiento,Peatón,Peaton,Automovil,Mujer,0-17,Lesionado
86,26647,2019-01-06-5-EHGR-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,20:00 a 20:59,Guadalajara,Jesus Reyes Heroles Av,Patria Av,-103.3876,20.62646,Colision Con Peaton/Atropellamiento,Conductor,Motociclista,Motocicleta,Hombre,18-27,Lesionado
87,26648,2019-01-06-5-EHGR-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,20:00 a 20:59,Guadalajara,Jesus Reyes Heroles Av,Patria Av,-103.3876,20.62646,Colision Con Peaton/Atropellamiento,Peatón,Peaton,Motocicleta,Hombre,60+,Lesionado
92,26653,2019-01-06-54066-SISCAV-06:00 A 07:59,2019-01-06,2019,Enero,6,domingo,06:00 a 06:59,Guadalajara,Las Rosas Av,Mariano Otero Av,-103.3915,20.65504,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,No especificado,No disponible,Lesionado
93,26654,2019-01-06-54066-SISCAV-06:00 A 07:59,2019-01-06,2019,Enero,6,domingo,06:00 a 06:59,Guadalajara,Las Rosas Av,Mariano Otero Av,-103.3915,20.65504,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,18-27,Ileso
94,26655,2019-01-06-54066-SISCAV-06:00 A 07:59,2019-01-06,2019,Enero,6,domingo,06:00 a 06:59,Guadalajara,Las Rosas Av,Mariano Otero Av,-103.3915,20.65504,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
95,26656,2019-01-06-54066-SISCAV-06:00 A 07:59,2019-01-06,2019,Enero,6,domingo,06:00 a 06:59,Guadalajara,Las Rosas Av,Mariano Otero Av,-103.3915,20.65504,Colision Entre Dos o Mas Vehiculos,Conductor,Sin datos,Sin datos,No especificado,No disponible,Ileso
96,26657,2019-01-06-54066-SISCAV-06:00 A 07:59,2019-01-06,2019,Enero,6,domingo,06:00 a 06:59,Guadalajara,Las Rosas Av,Mariano Otero Av,-103.3915,20.65504,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte de Carga,Camioneta De Carga,Hombre,18-27,Ileso
97,26658,2019-01-06-54069-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,12:00 a 12:59,Zapopan,Tabachines Av,Francisco I Madero Zap,-103.3623,20.753,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
98,26659,2019-01-06-54069-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,12:00 a 12:59,Zapopan,Tabachines Av,Francisco I Madero Zap,-103.3623,20.753,Colision Entre Dos o Mas Vehiculos,Conductor,Sin datos,Sin datos,No especificado,No disponible,Ileso
99,26660,2019-01-06-54069-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,12:00 a 12:59,Zapopan,Tabachines Av,Francisco I Madero Zap,-103.3623,20.753,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Taxi,Mujer,28-37,Lesionado
100,26661,2019-01-06-54069-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,12:00 a 12:59,Zapopan,Tabachines Av,Francisco I Madero Zap,-103.3623,20.753,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Taxi,Hombre,28-37,Ileso
101,26662,2019-01-06-54080-SISCAV-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,21:00 a 21:59,Guadalajara,Federalismo Calz,De Los Maestros Av,-103.3539,20.6932,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Taxi,Hombre,48-59,Ileso
102,26663,2019-01-06-54080-SISCAV-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,21:00 a 21:59,Guadalajara,Federalismo Calz,De Los Maestros Av,-103.3539,20.6932,Colision Entre Dos o Mas Vehiculos,Pasajero,Vehiculo Particular,Taxi,Mujer,No disponible,Lesionado
103,26664,2019-01-06-54080-SISCAV-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,21:00 a 21:59,Guadalajara,Federalismo Calz,De Los Maestros Av,-103.3539,20.6932,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,18-27,Ileso
104,26665,2019-01-06-54080-SISCAV-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,21:00 a 21:59,Guadalajara,Federalismo Calz,De Los Maestros Av,-103.3539,20.6932,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,18-27,Ileso
105,26666,2019-01-06-54080-SISCAV-20:00 A 21:59,2019-01-06,2019,Enero,6,domingo,21:00 a 21:59,Guadalajara,Federalismo Calz,De Los Maestros Av,-103.3539,20.6932,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Automovil,Hombre,28-37,Ileso
106,26667,2019-01-06-54083-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,13:00 a 13:59,Zapopan,Periferico,Santa Margarita,-103.412,20.73104,Colision Entre Dos o Mas Vehiculos,Conductor,Sin datos,Sin datos,No especificado,No disponible,Ileso
107,26668,2019-01-06-54083-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,13:00 a 13:59,Zapopan,Periferico,Santa Margarita,-103.412,20.73104,Colision Entre Dos o Mas Vehiculos,Conductor,Vehiculo Particular,Taxi,Hombre,18-27,Ileso
108,26669,2019-01-06-54083-SISCAV-12:00 A 13:59,2019-01-06,2019,Enero,6,domingo,13:00 a 13:59,Zapopan,Periferico,Santa Margarita,-103.412,20.73104,Colision Entre Dos o Mas Vehiculos,Conductor,Transporte Empresarial O De Personal,Camioneta De Pasajeros,Hombre,38-47,Ileso
